callsign,inband_qso_count,tk0c_total_qso_count,cn3a_reached
F8KGW,2,4,true
F8KLY,2,3,true
FK8IK,1,3,true
FS/K0CD,2,2,true
FY5FY,1,1,true
G0LZL,1,1,true
G0SKW,1,1,true
G0SYP,1,1,true
G3BOY,2,3,true
G3RWF,4,6,true
G3RXP,1,1,true
G3V,1,2,true
G3WPF,1,4,true
G3XTZ,1,1,true
G4AMT,3,3,true
G4BJM,7,7,true
G4C,3,3,true
G4DBW,4,4,true
G4DDL,1,4,true
G4DRS,1,1,true
G4ERW,4,5,true
G4FKA,1,1,false
G4FNL,6,6,true
G4IIY,2,6,true
G5W,1,2,true
G6PZ,1,1,true
G6T,3,6,true
G6XX,4,7,true
G8X,1,1,true
GD4EIP,1,2,true
GI4NKB,1,1,true
GI4OPH,1,1,false
GI5I,1,1,false
GJ2A,1,1,true
GM0OPS,1,1,false
GM2V,1,1,true
GM3A,1,1,true
GM3GAV,2,3,true
GM3YOR,2,2,true
GM4Z,2,2,false
GM7A,2,4,true
GU4CHY,1,1,true
GU4KHY,1,1,false
GW0FRE,1,2,true
GW8DX,1,1,true
GW9J,1,1,true
HA0LZ,1,3,true
HA1TJ,1,1,true
HA1VQ,1,3,true
HA2KMR,1,1,true
HA2NA,1,1,true
HA2PP,1,1,true
HA2VH,2,5,true
HA3DX,1,2,true
HA3HO,1,1,true
HA3MAR,2,2,true
HA3OU,6,7,true
HA4A,1,1,true
HA5GF,1,1,true
HA5GY,1,1,true
HA5MIG,4,5,true
HA5PP,1,2,true
HA5UX,1,1,true
HA6NL,4,5,true
HA7A,1,1,true
HA7I,1,5,true
HA7RY,3,6,true
HA7UI,1,4,true
HA8A,2,6,true
HA8AR,1,1,true
HA8BE,1,1,true
HA8FK,1,1,true
HA8IH,1,2,true
HA8LNN,4,4,false
HA8MD,1,3,true
HA8RM,1,1,false
HA8TA,5,6,true
HA8WY,1,2,true
HA8WZ,2,5,true
HB0DX,5,6,true
HB2Y,1,1,false
HB7X,5,6,true
HB9AGA,4,5,true
HB9ARF,1,1,true
HB9AWS,1,3,true
HB9BXE,1,5,true
HB9CPS,1,1,true
HB9CYN,4,6,true
HB9CZR,1,1,false
HB9DCM,1,2,true
HB9EBC,4,4,false
HB9EP,3,3,true
HB9FAP,1,1,true
HB9FBS,1,1,true
HB9GFP,1,1,true
HB9GFT,1,1,true
HB9HDC,1,4,true
HB9IJC,1,5,true
HB9OK,1,3,true
HB9RB,2,3,true
HB9TOC,4,5,true
HC2GRC,3,3,true
HF1K,2,7,true
HG1R,2,5,true
HG25TISZA,5,6,false
HG25TSZA,1,1,false
HG5A,4,6,true
HG5C,4,6,true
HG5D,1,6,true
HG60IPA,1,2,true
HG6N,1,7,true
HG6Z,2,4,true
HG7J,1,1,true
HG7T,5,7,true
HG8R,5,5,true
HG9X,1,1,true
HI3A,1,1,true
HK4LRM,2,3,true
HL2BQG,3,4,true
HL5FEI,1,1,true
HP1EUA,2,2,true
HP3/OK2WX,5,5,true
HQ9X,4,5,true
HS0ZLN,1,3,true
HS0ZME,1,1,false
HS8NKB,1,1,true
HV0A,1,1,true
I1NVU,5,6,true
I1RJP,1,1,true
I2IFT,1,1,true
I2SVA,3,5,true
I3FIY,4,6,true
I5MPN,1,2,true
I5MXX,2,3,true
I6FDJ,2,2,false
IB3N,3,3,true
IB9R,1,5,true
IB9T,1,5,true
IC8FBU,3,3,true
II1X,2,3,true
II1Y,1,1,true
II2M,1,1,true
II2P,1,4,true
II2Q,5,6,true
II2T,1,1,true
II3C,1,4,true
II3O,1,1,true
II4B,1,2,true
II4M,1,1,false
II9P,2,5,true
IK0IXI,1,1,true
IK0YUT,5,5,true
IK1JJM,4,6,true
IK1RQQ,2,2,true
IK1WEG,1,1,true
IK2AHB,1,1,true
IK2AVH,2,3,true
IK2CFD,1,2,true
IK2GZU,3,3,false
IK2HKT,4,4,true
IK2SND,1,2,true
IK2ULV,1,4,true
IK2WXQ,1,1,true
IK3SCB,1,1,true
IK3SSO,5,5,true
IK3VUT,4,5,true
IK4ADE,1,1,true
IK5MEP,3,5,true
IK5SRF,1,1,false
IK7MIY,3,3,true
IK7XJA,3,3,true
IK8PGM,1,1,true
IN3FHE,1,1,true
IN3KFF,2,3,true
IN3YKS,1,1,true
IO0A,4,6,true
IO3F,1,4,true
IO3X,1,1,true
IO4A,3,5,true
IO4M,2,5,true
IO4N,1,2,false
IO4X,2,5,true
IO5O,2,5,true
IO6T,1,4,true
IO8T,1,1,true
IO9R,5,5,true
IP0A,1,1,true
IP2A,1,6,true
IP3U,3,5,true
IP4E,2,4,true
IP6P,1,2,true
IP8A,1,1,true
IP8R,3,5,true
IQ2M,1,1,false
IQ2MI,1,5,true
IQ3ME,3,5,true
IQ3VO,1,1,true
IQ6JU,4,6,true
IS0AFM,4,5,true
IS0ESG,1,1,true
IS0GQX,1,1,true
IS0JXO,1,1,true
IS0KNZ,4,4,true
IT9BGE,1,1,true
IT9KCD,1,1,true
IT9KHI,1,1,true
IT9ORA,1,2,true
IT9RWB,1,1,true
IT9UFP,1,2,true
IU0ITX,1,3,true
IU1GHC,1,1,false
IU8RIA,3,5,true
IV3KKW,1,3,true
IV3YNB,1,1,true
IV3ZXF,4,4,true
IW1RGS,1,1,true
IW3ILM,1,1,true
IW9HRZ,1,2,true
IZ0CLS,1,1,false
IZ0DHC,3,3,true
IZ2FME,2,2,true
IZ3DVU,1,1,true
IZ3NVR,3,6,true
IZ3NYG,2,3,true
IZ4DYX,2,4,true
IZ4OSH,1,1,true
IZ5EKV,1,1,true
IZ7XUQ,1,1,true
IZ8EFD,2,2,true
IZ8GUQ,1,1,true
J38W,5,5,true
JA0FVU,1,2,true
JA1BJI,2,3,true
JA1MZM,1,1,false
JA1PNA,4,4,true
JA1TMG,2,4,true
JA1VND,1,1,false
JA1XGI,1,1,false
JA1ZGO,2,5,true
JA2AXB,1,1,true
JA3YBK,3,5,true
JA5EWQ,1,1,true
JA6BZI,1,2,true
JA6GCE,3,4,true
JA6SHL,1,1,true
JA7NPV,1,2,true
JA8RUZ,1,1,true
JA9CWJ,1,1,true
JE1LFX,2,3,true
JE2YRB,2,4,true
JE4YMO,3,5,true
JE5HTN,3,3,true
JE5JHZ,2,3,true
JF1KML,1,1,true
JF1NHD,2,3,true
JF2QNM,4,4,true
JF3IPR,1,1,true
JF7PHE,2,2,true
JG1SRO,2,2,false
JG1ZUY,2,5,true
JH1EAQ,1,2,true
JH1GEX,4,4,false
JH1HIC,2,2,true
JH1JNJ,1,1,false
JH3CUL,2,4,true
JH4UTP,3,4,true
JH4UYB,3,5,true
JH6WHN,1,1,true
JH7QXJ,3,3,true
JH9DRL,1,1,true
JI1FLB,1,2,false
JI1RXQ,1,1,true
JI7GBI,1,1,true
JI7NUF,1,1,false
JJ0PKS,1,1,true
JJ1LBJ,1,1,true
JK1HIX,1,1,false
JK2XXK,2,3,true
JL1CNY,3,3,true
JL3JRY,1,1,false
JM4WUZ,1,1,true
JM7SKE,1,1,true
JM8VFO,1,1,true
JR1IJV,2,3,true
JR2GRX,3,5,true
JR2KHB,1,1,false
JR2PMT,2,4,true
JR3KQJ,1,1,true
JR4OZR,2,5,true
JR6CSY,1,3,true
JS1KKY,1,1,true
JS1OYN,1,2,true
JT1BV,1,3,true
JT5DX,3,6,true
K0AD,1,3,true
K0DEQ,1,1,false
K0EA,2,2,true
K0EJ,3,6,true
K0FX,1,1,true
K0MD,1,2,true
K0OO,1,1,true
K0RF,1,3,true
K0SM,2,4,true
K0TI,2,2,true
K1AJ,1,1,true
K1AR,1,1,true
K1BW,1,2,true
K1BX,3,5,true
K1ESE,1,2,true
K1GU,1,1,true
K1IR,1,1,true
K1JB,1,2,true
K1KD,3,3,true
K1KI,5,6,true
K1KP,2,5,true
K1LT,2,3,true
K1RU,1,1,false
K1RV,1,3,true
K1RX,5,6,true
K1SM,1,2,true
K1TO,1,1,true
K1TTT,4,6,true
K1TZQ,2,3,true
K1VMT,3,4,true
K2AV,1,1,false
K2AX,2,7,true
K2BY,1,1,false
K2CJ,1,3,true
K2FD,1,2,true
K2KW,1,1,true
K2LE,1,5,true
K2LNS,2,2,true
K2NV,3,3,true
K2PS,1,1,true
K2QB,1,1,true
K2SE,3,4,true
K2VV,1,1,true
K2YY,1,1,false
K3CCR,1,5,true
K3CY,2,3,true
K3EL,3,4,true
K3GG,1,2,false
K3IE,1,5,true
K3KU,1,1,true
K3LR,4,6,true
K3QF,1,3,true
K3SV,3,4,true
K3TC,1,1,true
K3WU,2,5,true
K3WW,3,7,true
K3ZM,2,2,true
K4BAI,1,3,true
K4CBW,2,4,true
K4FR,1,5,true
K4NMR,2,3,true
K4PI,2,2,false
K4PV,4,5,true
K4QPL,1,1,false
K4RUM,1,1,true
K4ZW,5,6,true
K5BG,1,2,true
K5GN,5,6,true
K5KG,3,3,true
K5KU,3,3,true
K5NZ,1,3,true
K5RM,1,2,true
K5TU,1,2,true
K5UV,1,1,true
K5UZ,4,6,true
K5ZD,3,6,true
K6MMM,1,2,true
K6XX,1,2,true
K6ZH,1,3,true
K8AZ,2,6,true
K8BZ,2,2,true
K8GL,2,2,true
K8GU,2,3,true
K8MM,1,1,true
K8MP,4,4,true
K8MR,1,1,true
K9CT,3,6,true
K9MA,2,4,true
K9MMS,1,1,true
K9OM,3,5,true
K9PPY,1,1,true
K9RS,3,5,true
K9UIY,1,2,true
KA1EFO,1,1,false
KA2MGE,2,2,true
KA8JBK,2,2,true
KB1W,2,4,true
KB3WD,1,2,true
KB4DX,4,7,true
KB8GAE,1,3,true
KC1KUG,3,5,true
KC1WZQ,1,1,false
KC1XX,2,4,true
KC2LSD,2,5,true
KC3C,3,4,true
KC9LA,1,1,true
KD7ND,1,2,true
KE1VT,3,3,true
KE4S,1,1,true
KG1V,1,2,true
KG9N,4,4,true
KH6J,2,3,true
KH6LC,1,1,true
KI9A,1,5,true
KL7NL,3,4,true
KL7SB,2,2,true
KM7W,2,3,true
KN2M,3,6,true
KO4VW,2,3,true
KP2/PA1CC,1,1,true
KP2/PF0X,1,1,true
KP2AA,1,1,false
KP2B,6,6,true
KP2M,5,6,true
KP3N,2,4,true
KP4AA,5,6,true
KP4NZ,2,3,true
KQ2M,1,1,false
KQ3F,4,5,true
KQ4MHE,1,1,false
KR2AA,1,2,true
KR2Q,2,3,true
KR4I,1,1,true
KT8X,1,1,false
KU2C,3,4,true
KU2M,3,5,true
KV1I,1,1,true
KV2K,1,1,true
KW9A,1,1,true
