callsign,inband_qso_count,d4c_total_qso_count,cn3a_reached
K4ZW,4,6,true
K5BG,1,2,true
K5FUV,1,2,true
K5GN,4,7,true
K5KU,1,1,true
K5OY,1,3,true
K5TU,2,6,true
K5UV,1,3,true
K5WA,2,4,true
K5ZD,2,2,true
K6OK,1,4,true
K6RB,1,1,false
K6XX,1,1,true
K7BG,1,2,true
K7GA,1,3,true
K7MK,1,2,true
K7SS,1,1,false
K7WA,1,1,true
K8BZ,2,2,true
K8GL,2,2,true
K8LX,2,5,true
K8MFO,1,1,true
K8MM,4,4,true
K8MP,1,2,true
K8PK,1,4,true
K8R,2,3,false
K8TS,1,3,true
K9BGL,1,1,true
K9EI,1,1,true
K9KJ,1,1,true
K9LJN,1,3,true
K9MA,1,1,true
K9RS,3,9,true
K9ZO,1,2,true
KA0PQW,1,2,true
KA1EFO,1,1,true
KA2MGE,1,1,true
KA4JAM,2,2,false
KA5M,1,2,true
KB1EFS,2,2,true
KB1W,1,2,true
KB3WD,1,1,true
KC1XX,1,6,true
KC2LSD,1,4,true
KD8JDC,2,2,true
KD9LSV,2,2,false
KE0UI,1,3,true
KE2WY,1,2,true
KE8LQR,2,2,false
KG1V,1,1,true
KG9N,3,6,true
KH6AQ,1,1,true
KH6CJJ,1,2,false
KH6LC,5,6,true
KH7M,1,1,true
KH7X/W7,4,4,true
KI1G,1,2,true
KK0U,1,2,true
KK9V,1,6,true
KL7AC,2,2,false
KL7RA,1,4,true
KM5G,1,1,true
KN0V,1,1,true
KN2M,2,4,true
KN7K,1,3,true
KN7T,3,3,true
KO4CD,1,7,true
KP2B,1,1,true
KP2M,5,6,true
KP3N,4,4,true
KQ2M,3,4,true
KQ4R,1,1,true
KR2AA,1,1,true
KS1J,2,3,true
KT4XA,1,3,true
KT5C,2,3,true
KT7E,1,1,true
KU2C,2,2,true
KU2M,1,1,true
KV2K,1,1,true
KW8N,4,4,true
KY4GS,1,3,true
KY4ID,1,1,false
KZ5D,2,2,true
LA0GE,1,1,true
LA7GIA,3,3,true
LA8HGA,3,3,true
LA8OM,2,3,true
LA9OI,1,1,true
LC9A,1,3,true
LN8W,4,7,true
LP1H,4,5,true
LS2D,3,5,true
LT1F,2,3,true
LU1HLH,1,3,true
LU2DT,1,1,true
LU3MG,2,2,true
LU4HK,1,1,true
LU5HCB,1,1,false
LU6OA,2,2,false
LU6UO,1,1,true
LU7HN,1,1,true
LU7YS,1,2,true
LU7YZ,1,1,false
LU8DPM,1,1,true
LW1F,1,1,true
LW2DHD,1,1,false
LX1NO,1,1,true
LX8M,2,3,true
LY/ER1LW,4,4,true
LY0UKR,1,2,true
LY2CX,2,2,true
LY2DX,1,4,true
LY2GV,4,4,true
LY2J,2,6,true
LY2K,2,4,true
LY2MM,1,1,true
LY2NK,3,5,true
LY2X,1,1,true
LY2ZO,1,4,true
LY4A,3,6,true
LY4G,1,1,true
LY4L,1,3,true
LY5I,1,1,true
LY5O,3,6,true
LY5R,1,1,true
LY6C,1,1,true
LY7K,3,5,true
LY7R,2,4,true
LY7T,4,5,true
LY7X,1,1,true
LY9A,2,3,true
LZ1JZ,2,3,true
LZ1MS,1,1,true
LZ1ND,2,2,true
LZ1NY,1,1,true
LZ1QN,1,5,true
LZ1QZ,1,2,true
LZ1ZJ,1,3,true
LZ1ZM,3,3,true
LZ2HA,1,1,true
LZ3BB,1,1,false
LZ4TX,1,1,true
LZ4W,1,1,true
LZ5I,3,4,true
LZ5R,5,5,true
LZ5XQ,1,1,true
LZ5Y,1,1,true
LZ6K,3,3,true
LZ6W,1,1,true
LZ8A,1,1,true
LZ8E,1,1,true
LZ8R,1,1,true
LZ9W,1,2,true
M0DSL,1,2,true
M0MPM,1,1,true
M0RYB/P,5,6,true
M0TJU,2,2,true
M0URL,2,4,true
M0X,6,6,true
M3AWD,1,5,true
M3X,1,1,true
M5P,1,1,true
M5W,1,1,true
M6W,1,1,true
MD2C,1,3,true
MD4K,6,6,true
MI4I,1,1,true
MI5I,3,6,true
MM0T,4,5,true
MM0ZBH,1,5,true
MM2N,2,2,true
MM2T,2,5,true
MM3T,1,1,false
MM4D,1,1,false
MM9I,1,3,true
MU0FAL,1,1,false
MW0BRO,3,3,true
N0AC,1,1,false
N0AV,3,5,true
N0AX,2,3,true
N0HJZ,1,3,true
N0KK,1,4,true
N1DC,2,4,true
N1IX,4,4,true
N1KWF,2,2,true
N1LN,2,6,true
N1RR,2,4,true
N1SNB,1,1,true
N1TO,1,2,true
N1UR,2,2,true
N2AA,2,2,true
N2GM,1,1,true
N2IC,3,6,true
N2LBR,1,3,true
N2MF,4,5,true
N2NI,1,2,true
N2SR,3,6,true
N2YB,3,4,false
N2ZA,2,3,true
N3AD,3,3,true
N3CKI,1,2,true
N3CZ,1,5,true
N3DXX,1,2,true
N3ER,2,4,true
N3FR,1,3,true
N3JT,1,1,true
N3RS,2,2,true
N4AAJ,2,3,true
N4AF,1,1,true
N4EEB,1,1,false
N4EK,2,3,true
N4HB,1,3,true
N4IQ,3,5,true
N4KS,3,3,false
N4QS,1,2,true
N4RJ,3,4,true
N4RV,1,2,true
N4TQ,1,1,false
N4TZ,1,5,true
N4UU,3,3,true
N4WW,1,1,true
N4XD,2,2,true
N5AW,1,2,true
N5CR,1,3,true
N5CW,1,1,true
N5DX,3,6,true
N5JJ,1,1,true
N5RZ,1,1,true
N5TOO,2,2,true
N5YT,1,1,true
N6AA,1,2,true
N6VOH,1,1,false
N6ZFO,1,1,true
N7AT,1,5,true
N7DX,2,5,true
N7NR,1,2,true
N7TU,1,1,false
N7UA,1,1,false
N7VM,2,5,true
N7YY,1,2,true
N9RV,2,5,true
NA8V,3,6,true
NC1CC,3,4,true
NC6K,2,4,true
NE3F,2,3,true
NH2DX,1,2,true
NH6N,2,3,false
NI9F,1,2,true
NJ4P,4,6,true
NK4O,4,4,true
NN0G,1,4,true
NN1SS,3,6,true
NN3Q,2,3,true
NN3RP,1,1,true
NN7CW,4,4,true
NO8C,2,3,true
NP3CW,1,1,true
NP3Y,1,1,true
NP4L,1,1,false
NP4Z,6,6,true
NQ2W,1,1,false
NR3X,2,2,true
NR3Z,2,2,true
NR4M,2,5,true
NS0R,2,3,true
NS3T,1,1,true
NT2DR,1,4,true
NU6N,1,4,true
NW6P,1,1,true
NY3A,1,1,true
OA4ASD,1,1,false
OA4SS,1,1,true
OE1CIW,1,4,true
OE3SPR,2,3,true
OE40XTU,1,4,true
OE4VIE,1,1,false
OE6JTD,1,1,true
OE6V,1,1,true
OE6Z,5,6,true
OE8TIR,1,1,true
OF9X,2,5,true
OG1F,2,5,true
OG4Z,1,2,true
OG6N,1,1,true
OH0V,5,6,true
OH0X,3,7,true
OH0Z,4,6,true
OH1LA,1,2,true
OH1MM,1,3,true
OH1VR,1,3,true
OH2BAH,2,2,true
OH2KW,2,2,true
OH3D,1,1,true
OH3JF,3,3,true
OH3KAV,1,2,true
OH3XR,1,2,true
OH3Z,2,5,true
OH5Z,3,7,true
OH6CT,1,1,true
OH7K,1,1,true
OH8A,5,6,true
OH8L,1,1,true
OH8WR,2,2,true
OK1FGD,1,1,true
OK1FPG,2,2,false
OK1FPQ,2,3,true
OK1HEH,1,3,true
OK1OA,3,6,true
OK1PI,2,5,true
OK1TN,1,5,true
OK2CQR,2,2,true
OK2EA,3,3,true
OK2GG,1,1,false
OK2QA,1,1,true
OK2TJ,4,5,true
OK4YL,2,2,true
OK5D,1,1,true
OK5T,2,6,true
OK5Z,1,1,true
OK6W,1,1,true
OK6Y,1,2,true
OK7AW,2,2,true
OK7O,1,2,true
OK7PN,1,4,true
OL0A,2,4,true
OL0W,1,3,true
OL1C,2,4,true
OL3A,1,5,true
OL3R,1,1,true
OL3Z,2,4,true
OL5Y,3,3,true
OL6D,4,4,true
OL6P,4,5,true
OL7T,1,1,true
OL9A,1,1,true
OL9Z,1,1,true
OM0A,1,1,false
OM3CPF,1,1,true
OM4Q,2,4,true
OM5A,1,1,false
OM5AW,3,4,true
OM5CM,1,5,true
OM5JA,1,1,true
OM6AL,3,5,true
OM7K,4,5,true
OM8AQ,1,1,true
ON3DI,1,2,true
ON4CT,2,3,true
ON4TTT,2,2,true
ON5JT,3,3,true
ON5ZZ,2,2,true
ON6FC,1,1,true
ON6PJ,3,3,true
ON7PQ,2,3,true
ON9TT,2,3,true
OO4T,1,2,false
OP7B,1,1,false
OP7T,1,3,true
OQ5M,1,1,true
OR1Z,3,5,true
OR3A,2,4,true
OT2T,1,1,false
OT2X,1,1,false
OT4A,4,4,true
OT6M,1,1,false
OT7A,1,1,false
OT7T,3,6,true
OV7X,1,1,false
OX3XR,2,2,false
OX7AM,2,5,true
OY1CT,1,1,true
OY9JD,1,3,true
OZ1AA,4,5,true
OZ1AAR,4,4,true
OZ1IKY,1,1,true
OZ2TF,2,3,true
OZ3SM,1,3,true
OZ5W,4,8,true
P3AA,2,5,true
P3D,5,5,true
P40L,2,6,true
P44W,6,7,true
PA0O,1,5,true
PA1CW,1,1,true
PA1FP,2,2,false
PA1T,2,4,true
PA2A,1,3,true
PA3A,3,4,true
PA3AAV,3,3,true
PA3ARM,3,5,true
PA3BWK,1,1,true
PA3DBS,5,5,true
PA3GDD,2,2,true
PA3GVI,1,1,true
PA4DOC,1,1,true
PA4VHF,1,1,true
PA5KT,5,5,true
PA5N,3,3,true
PA6T,3,4,true
PA6X,1,3,true
PA7RA,2,2,true
PC3M,1,2,true
PC5C,2,2,true
PE1EEC,2,4,true
PF37EUDXF,2,2,true
