country,callsign,qso_count
"European Russia","RK5D",6
"European Russia","RK6LZZ",1
"European Russia","RK7KB",1
"European Russia","RL3DI",1
"European Russia","RL4A",1
"European Russia","RL4F",1
"European Russia","RL5A",1
"European Russia","RM2D",1
"European Russia","RM2T",1
"European Russia","RM3DA",4
"European Russia","RM4HZ",1
"European Russia","RM4I",4
"European Russia","RM4W",1
"European Russia","RM7C",2
"European Russia","RN3FS",1
"European Russia","RN3Z",2
"European Russia","RN3ZJJ",1
"European Russia","RN4ADU",1
"European Russia","RN4HAB",2
"European Russia","RN4HFJ",1
"European Russia","RN4NF",3
"European Russia","RN4SC",1
"European Russia","RN6MA",1
"European Russia","RO1B",3
"European Russia","RO4I",2
"European Russia","RO5I",1
"European Russia","RO6M",1
"European Russia","RO7K",1
"European Russia","RQ3M",3
"European Russia","RQ4C",1
"European Russia","RQ4F",1
"European Russia","RQ5D",1
"European Russia","RQ7L",1
"European Russia","RT2T",1
"European Russia","RT3F",1
"European Russia","RT4F",1
"European Russia","RT4H",2
"European Russia","RT4S",2
"European Russia","RT4W",1
"European Russia","RT5C",1
"European Russia","RT5Z",1
"European Russia","RT7F",2
"European Russia","RT7T",1
"European Russia","RT9X",1
"European Russia","RU1AB",3
"European Russia","RU1AT",1
"European Russia","RU3C",3
"European Russia","RU3DM",1
"European Russia","RU3SD",1
"European Russia","RU3UB",2
"European Russia","RU3VV",2
"European Russia","RU3XY",1
"European Russia","RU4AA",1
"European Russia","RU4HU",1
"European Russia","RU4PAA",1
"European Russia","RU5B",1
"European Russia","RU5TT",1
"European Russia","RU6B",4
"European Russia","RU6DX",1
"European Russia","RU6K",1
"European Russia","RU6YJ",2
"European Russia","RU6YZ",2
"European Russia","RU9F",3
"European Russia","RV1CC",1
"European Russia","RV3A",1
"European Russia","RV3LO",3
"European Russia","RV3WT",1
"European Russia","RV3YR",1
"European Russia","RV4CF",1
"European Russia","RV5K",2
"European Russia","RV6LCT",2
"European Russia","RW1A",4
"European Russia","RW1CW",1
"European Russia","RW2B",1
"European Russia","RW3AI",1
"European Russia","RW3DIA",1
"European Russia","RW3DKK",3
"European Russia","RW3DU",1
"European Russia","RW3DVW",1
"European Russia","RW3ZA",1
"European Russia","RW4FD",1
"European Russia","RW4HD",2
"European Russia","RW4HZ",3
"European Russia","RW4LC",1
"European Russia","RW4NN",1
"European Russia","RW4W",1
"European Russia","RW4WA",1
"European Russia","RW4WZ",1
"European Russia","RW7M",1
"European Russia","RX1AL",1
"European Russia","RX1CQ",3
"European Russia","RX3AEX",1
"European Russia","RX3AU",2
"European Russia","RX3XA",1
"European Russia","RX3ZW",1
"European Russia","RX4W/3",2
"European Russia","RX7K",3
"European Russia","RY3D",2
"European Russia","RY7G",1
"European Russia","RY7Y",2
"European Russia","RZ1O",1
"European Russia","RZ1OA",1
"European Russia","RZ1OK",3
"European Russia","RZ3AIA",1
"European Russia","RZ3DAB",1
"European Russia","RZ3DC",1
"European Russia","RZ3DJ",1
"European Russia","RZ3DOT",1
"European Russia","RZ3Q",3
"European Russia","RZ3QL",1
"European Russia","RZ3Z",1
"European Russia","RZ4DXC",1
"European Russia","RZ4F",1
"European Russia","RZ4HC",1
"European Russia","RZ4WZ",1
"European Russia","RZ5D",4
"European Russia","RZ6YZ",1
"European Russia","RZ7L",1
"European Russia","U1BD",3
"European Russia","UA1AFZ",1
"European Russia","UA1AKJ",1
"European Russia","UA1CE",1
"European Russia","UA1CEI",2
"European Russia","UA1CUR",1
"European Russia","UA1ORK",1
"European Russia","UA3ABF",2
"European Russia","UA3ABJ",1
"European Russia","UA3AGW",2
"European Russia","UA3BL",5
"European Russia","UA3BV",1
"European Russia","UA3DSS",1
"European Russia","UA3DUJ",1
"European Russia","UA3LG",1
"European Russia","UA3O",1
"European Russia","UA3OQ",2
"European Russia","UA3PI",2
"European Russia","UA3RAW",1
"European Russia","UA3RE",3
"European Russia","UA3RJ",1
"European Russia","UA3SCW",1
"European Russia","UA3UAT",1
"European Russia","UA4ARF",1
"European Russia","UA4ATB",4
"European Russia","UA4ATR",1
"European Russia","UA4HRZ",1
"European Russia","UA4NC",1
"European Russia","UA4NCI",1
"European Russia","UA4NDX",1
"European Russia","UA4WGM",1
"European Russia","UA4WW",1
"European Russia","UA5D",1
"European Russia","UA5F",1
"European Russia","UA6ARR",1
"European Russia","UA6BGM",1
"European Russia","UA6DX",1
"European Russia","UA6G",1
"European Russia","UA6GF",3
"European Russia","UA6HLN",1
"European Russia","UA6JFG",2
"European Russia","UA6JQ",3
"European Russia","UA6LQ",1
"European Russia","UA6LQZ",1
"European Russia","UA6LUQ",2
"European Russia","UA7T",1
"European Russia","UA9FAR",1
"European Russia","UA9FX",1
"European Russia","UA9XMC",1
"European Russia","UC4C",3
"European Russia","UC4I",2
"European Russia","UC6A",1
"European Russia","UC7A",1
"European Russia","UD1A",1
"European Russia","UD4F",5
"European Russia","UD4FD",1
"European Russia","UE1KR",1
"European Russia","UF5D",4
"European Russia","UF6VO",1
"European Russia","UG3G",2
"European Russia","UI3A",1
"European Russia","UI4I",1
"European Russia","UI5F",1
"Kaliningrad","RA2FB",1
"Kaliningrad","RN2FQ",2
"Kaliningrad","UA2F",5
"Kaliningrad","UC2C",1
"Kaliningrad","UI2K",1
"Ukraine","EN4U",4
"Ukraine","EO6F",2
"Ukraine","UR0HQ",1
"Ukraine","UR0MZ",1
"Ukraine","UR1MI",1
"Ukraine","UR1YDD",1
"Ukraine","UR2Y",1
"Ukraine","UR3CMA",1
"Ukraine","UR3HC",1
"Ukraine","UR4EI",2
"Ukraine","UR4EWP",1
"Ukraine","UR4LBL",3
"Ukraine","UR4RXJ",1
"Ukraine","UR4U",2
"Ukraine","UR5AMJ",2
"Ukraine","UR5ANO",1
"Ukraine","UR5AS",4
"Ukraine","UR5CN",1
"Ukraine","UR5E",5
"Ukraine","UR5EAF",1
"Ukraine","UR5EPV",1
"Ukraine","UR5GCM",1
"Ukraine","UR5IRM",1
"Ukraine","UR5LCZ",1
"Ukraine","UR5MAF",2
"Ukraine","UR5QBB",1
"Ukraine","UR5QW",1
"Ukraine","UR5RP",1
"Ukraine","UR5TEX",1
"Ukraine","UR5UDX",1
"Ukraine","UR5WCW",1
"Ukraine","UR5Y",1
"Ukraine","UR5ZTH",1
"Ukraine","UR6EA",4
"Ukraine","UR6GWZ",1
"Ukraine","UR6IJ",1
"Ukraine","UR6IM",2
"Ukraine","UR6LEY",2
"Ukraine","UR7HTW",1
"Ukraine","UR7IWW",2
"Ukraine","UR7LY",2
"Ukraine","UR8QR",1
"Ukraine","US0LW",1
"Ukraine","US0U",1
"Ukraine","US0UX",1
"Ukraine","US0VA",1
"Ukraine","US1GFW",2
"Ukraine","US1IY",1
"Ukraine","US1MM",2
"Ukraine","US1UU",1
"Ukraine","US2IZ",1
"Ukraine","US3LX",1
"Ukraine","US4AS",2
"Ukraine","US4EM",1
"Ukraine","US4IQS",1
"Ukraine","US5CCO",1
"Ukraine","US5D",7
"Ukraine","US5IND",2
"Ukraine","US5MEU",1
"Ukraine","US5QUB",3
"Ukraine","US5UCC",1
"Ukraine","US5UO",1
"Ukraine","US5UZ",1
"Ukraine","US5ZCW",1
"Ukraine","US6IKF",3
"Ukraine","US7IB",1
"Ukraine","US8IAT",1
"Ukraine","US8MS",1
"Ukraine","UT0LK",1
"Ukraine","UT0RF",2
"Ukraine","UT1AA",1
"Ukraine","UT1DX",1
"Ukraine","UT1US",2
"Ukraine","UT2AA",2
"Ukraine","UT2HC",4
"Ukraine","UT2UB",1
"Ukraine","UT3C",1
"Ukraine","UT3EK",1
"Ukraine","UT3IA",1
"Ukraine","UT3IZ",1
"Ukraine","UT3QD",1
"Ukraine","UT3UZ",3
"Ukraine","UT3WW",1
"Ukraine","UT3WX",2
"Ukraine","UT4MW",1
"Ukraine","UT4PR",1
"Ukraine","UT4UEG",1
"Ukraine","UT4UH",2
"Ukraine","UT4XU",2
"Ukraine","UT5EL",1
"Ukraine","UT5EOX",2
"Ukraine","UT5ERV",1
"Ukraine","UT5EUQ",2
"Ukraine","UT5M",2
"Ukraine","UT5MB",1
"Ukraine","UT5PI",1
"Ukraine","UT5RB",3
"Ukraine","UT5UGR",2
"Ukraine","UT5UHX",1
"Ukraine","UT5ULB",1
"Ukraine","UT5UX",1
"Ukraine","UT5UY",2
"Ukraine","UT5YY",1
"Ukraine","UT6EE",3
"Ukraine","UT6IE",1
"Ukraine","UT7CA",2
"Ukraine","UT7E",1
"Ukraine","UT7HA",1
"Ukraine","UT7LA",1
"Ukraine","UT7LN",1
"Ukraine","UT7QF",1
"Ukraine","UT7QL",1
"Ukraine","UT7ZZ",1
"Ukraine","UT8AL",2
"Ukraine","UT8AS",1
"Ukraine","UT8EL",3
"Ukraine","UT8IM",2
"Ukraine","UT8IV",1
"Ukraine","UT8LN",1
"Ukraine","UT8NT",2
"Ukraine","UT9UZ",1
"Ukraine","UV3QF",1
"Ukraine","UV5EEO",2
"Ukraine","UV5ERY",1
"Ukraine","UV5U",3
"Ukraine","UV7E",2
"Ukraine","UV7V",3
"Ukraine","UW1GX",1
"Ukraine","UW1M",5
"Ukraine","UW1WU",1
"Ukraine","UW2L",1
"Ukraine","UW2M",4
"Ukraine","UW2Q",1
"Ukraine","UW4E",1
"Ukraine","UW5Q",2
"Ukraine","UW5Y",4
"Ukraine","UW5ZM",1
"Ukraine","UW6M",1
"Ukraine","UW7F",1
"Ukraine","UW7LL",4
"Ukraine","UW7M",1
"Ukraine","UW7RV",2
"Ukraine","UW8SM",1
"Ukraine","UX0RR",5
"Ukraine","UX0UW",1
"Ukraine","UX1IL",1
"Ukraine","UX1IX",1
"Ukraine","UX1MH",3
"Ukraine","UX1UF",1
"Ukraine","UX1VX",3
"Ukraine","UX2HB",1
"Ukraine","UX2HH",1
"Ukraine","UX2HX",1
"Ukraine","UX2IO",1
"Ukraine","UX2IQ",1
"Ukraine","UX2MF",3
"Ukraine","UX3HA",1
"Ukraine","UX3IO",1
"Ukraine","UX3IT",2
"Ukraine","UX3IW",2
"Ukraine","UX3MF",1
"Ukraine","UX3UN",1
"Ukraine","UX4CR",1
"Ukraine","UX4UA",5
"Ukraine","UX5IZ",1
"Ukraine","UX5TQ",1
"Ukraine","UX5UO",1
"Ukraine","UX6IR",1
"Ukraine","UX7FC",2
"Ukraine","UX7FD",3
"Ukraine","UX7LQ",2
"Ukraine","UX7QG",1
"Ukraine","UX7QV",1
"Ukraine","UX7U",1
"Ukraine","UX8IX",1
"Ukraine","UY0CA",3
"Ukraine","UY0HY",2
"Ukraine","UY2UA",1
"Ukraine","UY2UQ",1
"Ukraine","UY2UR",2
"Ukraine","UY3CC",3
"Ukraine","UY5AR",1
"Ukraine","UY5TE",2
"Ukraine","UY6U",2
"Ukraine","UY7MM",2
"Ukraine","UZ0U",1
"Ukraine","UZ2FWB",1
"Ukraine","UZ3I",1
"Ukraine","UZ4I",1
"Ukraine","UZ5AV",1
"Ukraine","UZ5IZ",1
"Ukraine","UZ5ZV",1
